t,dx_px,dy_px,angle_x,angle_y,valid,spot_id,spot_score,height,yaw_deg,vn,ve,v_fwd,v_right,x,y,disp_n,disp_e
0.226,223.0,-202.0,-0.1919717639684677,-0.2148905098438263,1,0,127,0.940,6.35,-0.0139,0.0249,-0.0111,0.0262,0.0440,0.0428,-0.0664,0.0159
0.277,223.0,-202.0,-0.1919717639684677,-0.2148905098438263,1,0,127,0.940,6.35,-0.0139,0.0249,-0.0111,0.0262,0.0440,0.0428,-0.0664,0.0159
0.326,223.0,-202.0,-0.1919717639684677,-0.2148905098438263,1,0,127,0.940,6.35,-0.0139,0.0249,-0.0111,0.0262,0.0440,0.0428,-0.0664,0.0159
0.377,223.0,-202.0,-0.1919717639684677,-0.2148905098438263,1,0,127,0.940,6.35,-0.0139,0.0249,-0.0111,0.0262,0.0440,0.0428,-0.0664,0.0159
0.426,223.0,-202.0,-0.1919717639684677,-0.2148905098438263,1,0,127,0.940,-1.04,-0.0139,0.0249,-0.0144,0.0246,0.0440,0.0428,-0.0664,0.0159
0.476,213.0,-179.0,-0.1699475795030594,-0.20479635894298553,1,0,127,0.970,-0.92,0.0118,0.0124,0.0116,0.0126,0.0404,0.0463,-0.0701,0.0194
0.527,213.0,-179.0,-0.1699475795030594,-0.20479635894298553,1,0,127,0.970,-0.83,0.0184,0.0105,0.0183,0.0107,0.0415,0.0470,-0.0689,0.0201
0.576,213.0,-180.0,-0.17089523375034332,-0.2048160284757614,1,0,127,0.970,-0.72,0.0234,0.0086,0.0233,0.0089,0.0428,0.0476,-0.0677,0.0207
0.627,212.0,-181.0,-0.1718224585056305,-0.20387661457061768,1,0,127,0.970,-0.63,0.0279,0.0066,0.0278,0.0069,0.0439,0.0482,-0.0665,0.0213
0.677,213.0,-181.0,-0.1718428134918213,-0.20483575761318207,1,0,127,0.980,-0.53,0.0323,0.0043,0.0323,0.0046,0.0451,0.0486,-0.0653,0.0218
0.726,214.0,-182.0,-0.17281104624271393,-0.2058149129152298,1,0,127,0.980,-0.46,0.0323,0.0043,0.0323,0.0045,0.0451,0.0486,-0.0653,0.0218
0.777,212.0,-181.0,-0.1718224585056305,-0.20387661457061768,1,0,127,0.980,-0.39,0.0382,0.0011,0.0382,0.0014,0.0466,0.0492,-0.0639,0.0223
0.827,214.0,-182.0,-0.17281104624271393,-0.2058149129152298,1,0,127,0.970,-0.39,0.0433,-0.0016,0.0433,-0.0014,0.0479,0.0495,-0.0625,0.0226
0.877,215.0,-182.0,-0.172831729054451,-0.20677408576011658,1,0,127,0.970,-0.35,0.0484,-0.0046,0.0484,-0.0043,0.0495,0.0495,-0.0609,0.0226
0.927,216.0,-185.0,-0.1756962239742279,-0.20779454708099365,1,0,127,0.980,-0.32,0.0531,-0.0068,0.0532,-0.0065,0.0514,0.0492,-0.0590,0.0223
0.977,217.0,-187.0,-0.17761340737342834,-0.20879563689231873,1,0,127,0.980,-0.31,0.0568,-0.0083,0.0568,-0.0079,0.0534,0.0488,-0.0570,0.0219
1.027,220.0,-199.0,-0.1890561878681183,-0.21193841099739075,1,0,127,0.980,-0.32,0.0592,-0.0090,0.0592,-0.0087,0.0559,0.0484,-0.0545,0.0215
1.076,220.0,-199.0,-0.1890561878681183,-0.21193841099739075,1,0,95,0.980,-0.35,0.0592,-0.0091,0.0593,-0.0087,0.0576,0.0483,-0.0528,0.0214
1.127,221.0,-200.0,-0.19002771377563477,-0.2129221260547638,1,0,127,0.950,-0.40,0.0572,-0.0086,0.0573,-0.0082,0.0587,0.0481,-0.0517,0.0212
1.176,225.0,-206.0,-0.19581405818462372,-0.2169083207845688,1,0,127,0.950,-0.45,0.0549,-0.0085,0.0550,-0.0081,0.0593,0.0477,-0.0512,0.0208
1.227,225.0,-207.0,-0.19676247239112854,-0.21693257987499237,1,0,127,0.950,-0.52,0.0525,-0.0093,0.0525,-0.0088,0.0596,0.0465,-0.0509,0.0196
1.277,227.0,-209.0,-0.1987098753452301,-0.21890497207641602,1,0,124,0.950,-0.61,0.0501,-0.0103,0.0502,-0.0098,0.0601,0.0443,-0.0503,0.0174
1.327,228.0,-211.0,-0.20063279569149017,-0.21991685032844543,1,0,127,0.950,-0.72,0.0498,-0.0089,0.0499,-0.0082,0.0618,0.0438,-0.0486,0.0169
1.377,229.0,-214.0,-0.20350497961044312,-0.22095529735088348,1,0,127,0.950,-0.83,0.0488,-0.0068,0.0489,-0.0061,0.0637,0.0435,-0.0467,0.0166
1.427,231.0,-218.0,-0.20735371112823486,-0.2229846566915512,1,0,127,0.960,-0.97,0.0463,-0.0045,0.0464,-0.0038,0.0651,0.0431,-0.0454,0.0162
1.476,231.0,-222.0,-0.21114903688430786,-0.2230917066335678,1,0,127,0.960,-1.11,0.0411,-0.0012,0.0412,-0.0004,0.0657,0.0428,-0.0447,0.0159
1.527,231.0,-226.0,-0.2149440050125122,-0.2232009917497635,1,0,127,0.960,-1.26,0.0354,0.0019,0.0354,0.0027,0.0656,0.0426,-0.0448,0.0157
1.577,230.0,-226.0,-0.2149159014225006,-0.22223731875419617,1,0,127,0.960,-1.40,0.0307,0.0044,0.0305,0.0051,0.0653,0.0428,-0.0451,0.0159
1.627,230.0,-226.0,-0.2149159014225006,-0.22223731875419617,1,0,127,0.970,-1.57,0.0235,0.0086,0.0232,0.0092,0.0643,0.0435,-0.0461,0.0166
1.677,230.0,-225.0,-0.21396732330322266,-0.22220991551876068,1,0,127,0.970,-1.75,0.0192,0.0116,0.0189,0.0121,0.0633,0.0442,-0.0471,0.0173
1.727,227.0,-220.0,-0.20914293825626373,-0.21918606758117676,1,0,127,0.940,-1.93,0.0141,0.0161,0.0136,0.0165,0.0619,0.0453,-0.0486,0.0184
1.777,228.0,-223.0,-0.2120150923728943,-0.2202288955450058,1,0,127,0.940,-2.12,0.0120,0.0189,0.0113,0.0193,0.0612,0.0462,-0.0492,0.0193
1.827,226.0,-221.0,-0.2100643366575241,-0.21824929118156433,1,0,127,0.980,-2.33,0.0097,0.0225,0.0088,0.0228,0.0605,0.0473,-0.0500,0.0204
1.876,225.0,-222.0,-0.21098558604717255,-0.21731236577033997,1,0,127,0.980,-2.55,0.0075,0.0263,0.0063,0.0266,0.0595,0.0486,-0.0509,0.0217
1.927,222.0,-223.0,-0.21185331046581268,-0.21444834768772125,1,0,127,0.970,-2.79,0.0044,0.0292,0.0030,0.0294,0.0586,0.0496,-0.0519,0.0227
1.976,219.0,-223.0,-0.21177423000335693,-0.21155771613121033,1,0,127,0.970,-3.04,0.0021,0.0321,0.0004,0.0322,0.0577,0.0503,-0.0527,0.0234
2.027,216.0,-222.0,-0.21074950695037842,-0.20864160358905792,1,0,127,0.930,-3.29,-0.0005,0.0340,-0.0024,0.0339,0.0566,0.0511,-0.0539,0.0242
2.077,211.0,-217.0,-0.20589105784893036,-0.20370209217071533,1,0,127,0.930,-3.54,-0.0024,0.0353,-0.0046,0.0351,0.0553,0.0520,-0.0552,0.0251
2.127,208.0,-214.0,-0.20298005640506744,-0.2007424235343933,1,0,127,0.940,-3.80,-0.0033,0.0360,-0.0057,0.0357,0.0540,0.0529,-0.0564,0.0260
2.177,205.0,-208.0,-0.19723419845104218,-0.1977185606956482,1,0,127,0.940,-4.06,-0.0029,0.0361,-0.0054,0.0358,0.0526,0.0538,-0.0579,0.0269
2.227,201.0,-205.0,-0.19430801272392273,-0.19380483031272888,1,0,127,0.950,-4.32,-0.0013,0.0355,-0.0040,0.0353,0.0513,0.0544,-0.0592,0.0275
2.277,199.0,-205.0,-0.1942647397518158,-0.19188088178634644,1,0,127,0.950,-4.57,0.0010,0.0344,-0.0017,0.0344,0.0502,0.0552,-0.0602,0.0283
2.327,196.0,-207.0,-0.19609078764915466,-0.18903665244579315,1,0,117,0.970,-4.82,0.0038,0.0334,0.0010,0.0336,0.0495,0.0562,-0.0609,0.0293
2.377,194.0,-206.0,-0.19510339200496674,-0.1870911419391632,1,0,116,0.970,-5.05,0.0060,0.0318,0.0032,0.0322,0.0487,0.0572,-0.0618,0.0303
2.427,189.0,-206.0,-0.19499969482421875,-0.1822795271873474,1,0,127,0.960,-5.27,0.0074,0.0291,0.0047,0.0297,0.0475,0.0580,-0.0629,0.0311
2.476,188.0,-206.0,-0.19497929513454437,-0.18131709098815918,1,0,127,0.960,-5.49,0.0092,0.0264,0.0067,0.0272,0.0467,0.0586,-0.0638,0.0317
2.527,183.0,-201.0,-0.19016022980213165,-0.1764083206653595,1,0,127,0.950,-5.71,0.0117,0.0225,0.0094,0.0235,0.0460,0.0589,-0.0645,0.0320
2.577,183.0,-199.0,-0.18827247619628906,-0.1763705015182495,1,0,127,0.950,-5.89,0.0142,0.0186,0.0123,0.0199,0.0453,0.0591,-0.0652,0.0322
2.626,180.0,-197.0,-0.18632857501506805,-0.17344820499420166,1,0,127,1.010,-6.11,0.0180,0.0142,0.0164,0.0161,0.0449,0.0588,-0.0655,0.0319
