t,dx_px,dy_px,angle_x,angle_y,valid,spot_id,spot_score,height,roll_deg,pitch_deg,yaw_deg,rollspeed,pitchspeed,yawspeed,vn,ve,v_fwd,v_right,x,y,disp_n,disp_e
0.250,0.0,0.0,nan,nan,0,0,0,0.960,-0.04,-2.75,-169.40,0.0638,-0.2692,0.0882,-0.0910,0.0422,0.0817,-0.0583,-1.2327,-0.3819,-0.0381,-0.0140
0.302,0.0,0.0,nan,nan,0,0,0,0.960,0.23,-3.07,-168.68,0.0609,0.1635,0.0841,-0.0910,0.0422,0.0810,-0.0593,-1.2327,-0.3819,-0.0381,-0.0140
0.351,0.0,0.0,nan,nan,0,0,0,0.970,0.47,-1.29,-167.93,0.0408,0.4538,0.0835,-0.0950,0.0258,0.0875,-0.0451,-1.2435,-0.3786,-0.0490,-0.0108
0.400,0.0,0.0,nan,nan,0,0,0,0.970,0.47,-1.29,-167.93,0.0408,0.4538,0.0835,-0.0864,0.0069,0.0830,-0.0248,-1.2554,-0.3771,-0.0608,-0.0092
0.450,0.0,0.0,nan,nan,0,0,0,0.970,0.58,0.65,-167.15,-0.0020,0.1696,0.0723,-0.0864,0.0069,0.0827,-0.0259,-1.2554,-0.3771,-0.0608,-0.0092
0.500,0.0,0.0,nan,nan,0,0,0,0.970,0.58,0.65,-167.15,-0.0020,0.1696,0.0723,-0.0446,-0.0058,0.0448,-0.0042,-1.2614,-0.3749,-0.0668,-0.0071
0.551,0.0,0.0,nan,nan,0,0,0,0.960,0.49,0.13,-166.46,-0.0338,-0.3224,0.0626,-0.0446,-0.0058,0.0447,-0.0048,-1.2614,-0.3749,-0.0668,-0.0071
0.601,0.0,0.0,nan,nan,0,0,0,0.960,0.49,0.13,-166.46,-0.0338,-0.3224,0.0626,0.0167,-0.0182,-0.0120,0.0216,-1.2591,-0.3743,-0.0645,-0.0064
0.650,0.0,0.0,nan,nan,0,0,0,0.960,0.27,-1.91,-165.85,-0.0414,-0.3614,0.0564,0.0167,-0.0182,-0.0117,0.0217,-1.2591,-0.3743,-0.0645,-0.0064
0.701,0.0,0.0,nan,nan,0,0,0,0.960,0.27,-1.91,-165.85,-0.0414,-0.3614,0.0564,0.0478,-0.0315,-0.0387,0.0422,-1.2563,-0.3755,-0.0617,-0.0076
0.750,0.0,0.0,nan,nan,0,0,0,0.960,0.00,-2.78,-165.21,-0.0395,0.0884,0.0536,0.0478,-0.0315,-0.0382,0.0427,-1.2563,-0.3755,-0.0617,-0.0076
0.801,0.0,0.0,nan,nan,0,0,0,0.960,0.00,-2.78,-165.21,-0.0395,0.0884,0.0536,0.0489,-0.0476,-0.0351,0.0586,-1.2581,-0.3788,-0.0635,-0.0109
0.850,0.0,0.0,nan,nan,0,0,0,0.960,-0.25,-1.47,-164.64,-0.0513,0.3246,0.0527,0.0489,-0.0476,-0.0345,0.0589,-1.2581,-0.3788,-0.0635,-0.0109
0.901,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.960,-0.25,-1.47,-164.64,-0.0513,0.3246,0.0527,0.0564,-0.0577,-0.0391,0.0706,-1.2588,-0.3830,-0.0642,-0.0151
0.950,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.970,-0.59,-0.35,-164.06,-0.0727,0.0032,0.0453,0.0564,-0.0577,-0.0383,0.0709,-1.2588,-0.3830,-0.0642,-0.0151
1.001,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.970,-0.59,-0.35,-164.06,-0.0727,0.0032,0.0453,0.0859,-0.0568,-0.0670,0.0782,-1.2527,-0.3866,-0.0581,-0.0188
1.051,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.970,-1.02,-1.60,-163.52,-0.0830,-0.4208,0.0330,0.1203,-0.0499,-0.1012,0.0820,-1.2383,-0.3897,-0.0438,-0.0218
1.100,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.930,-1.47,-3.99,-162.99,-0.0704,-0.3635,0.0265,0.1203,-0.0499,-0.1005,0.0829,-1.2383,-0.3897,-0.0438,-0.0218
1.151,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.930,-1.47,-3.99,-162.99,-0.0704,-0.3635,0.0265,0.1203,-0.0499,-0.1005,0.0829,-1.2383,-0.3897,-0.0438,-0.0218
1.201,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.930,-1.82,-4.72,-162.56,-0.0557,0.0949,0.0248,0.1168,-0.0462,-0.0976,0.0791,-1.2278,-0.3933,-0.0332,-0.0255
1.250,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.930,-1.82,-4.72,-162.56,-0.0557,0.0949,0.0248,0.1168,-0.0462,-0.0976,0.0791,-1.2278,-0.3933,-0.0332,-0.0255
1.300,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.940,-2.11,-3.42,-162.21,-0.0510,0.2999,0.0222,0.0841,-0.0448,-0.0664,0.0684,-1.2231,-0.3981,-0.0285,-0.0302
1.350,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.940,-2.11,-3.42,-162.21,-0.0510,0.2999,0.0222,0.0841,-0.0448,-0.0664,0.0684,-1.2231,-0.3981,-0.0285,-0.0302
1.401,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.950,-2.37,-2.48,-161.88,-0.0435,-0.0078,0.0146,0.0512,-0.0210,-0.0421,0.0359,-1.2088,-0.4062,-0.0142,-0.0383
1.451,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.950,-2.46,-2.87,-161.70,-0.0306,-0.2389,0.0102,0.0512,-0.0210,-0.0420,0.0360,-1.2088,-0.4062,-0.0142,-0.0383
1.501,-379.0,-205.0,-0.20029164850711823,0.3647018074989319,1,0,6,0.960,-2.52,-3.80,-161.51,-0.0126,-0.3804,0.0045,0.0453,0.0011,-0.0433,0.0133,-1.1962,-0.4059,-0.0016,-0.0381
